,title,doi,published,ref_count,authors,abstract,author_names,journal,volume,issue,pages,article_number,publisher,crossref_title,apa_citation
0,Elite Partisan Disagreement and Military Victory: Evidence from South Korean Battle Experiments,10.1017/s0003055426101543,"[2026, 3, 24]",161,"[{'ORCID': 'https://orcid.org/0000-0001-8248-4536', 'authenticated-orcid': False, 'given': 'MICHAEL F.', 'family': 'JOSEPH', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/0168r3w48', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'University of California, San Diego'}]}, {'ORCID': 'https://orcid.org/0000-0003-3612-8172', 'authenticated-orcid': False, 'given': 'JOON H.', 'family': 'CHUNG', 'sequence': 'additional', 'affiliation': [{'id': [{'id': 'https://ror.org/0168r3w48', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'University of California, San Diego'}]}, {'given': 'HUI SEONG', 'family': 'PARK', 'sequence': 'additional', 'affiliation': [{'id': [{'id': 'https://ror.org/0331rkj73', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'Korea Army Academy at Yeongcheon'}]}]","Does partisan disagreement impact expectations of victory in war? We conjectured it could by degrading military cohesion. We registered two main predictions: (a) soldiers fight less effectively if they observe political parties disagree during a crisis about whether to initiate war and (b) the effects of (a) are amplified when soldiers are affiliated with a dissenting opposition party. With some nuance, we found broad support for these predictions through two preregistered survey experiments that recruited South Korean military cadets and soldiers of appropriate ranks for warfighting. Our novel design estimated effects on the will to perform six essential battlefield tasks given land-battle doctrine, unit structures, and force employment of modern democratic armies. Thirteen exploratory tests yield findings consistent with arguments that military institutions provide nonpartisan socialization, but surprising for research on nationalism, soldier-to-soldier trust, and the psychological and dispositional determinants of military effectiveness. We also introduce and calibrate rifle shooting outcomes for experiments.","['JOSEPH, MICHAEL F.', 'CHUNG, JOON H.', 'PARK, HUI SEONG']",American Political Science Review,,,1-29,,Cambridge University Press (CUP),Elite Partisan Disagreement and Military Victory: Evidence from South Korean Battle Experiments,"Joseph, M. F., Chung, J. H., & Park, H. S. (2026). Elite Partisan Disagreement and Military Victory: Evidence from South Korean Battle Experiments. American Political Science Review, [VOLUME MISSING] , 1-29.[ https://doi.org/10.1017/s0003055426101543]( https://doi.org/10.1017/s0003055426101543)"
1,The Effects of Exposure to New Electoral Rules: Field Experimental Evidence from Sierra Leone,10.1017/s0003055426101518,"[2026, 3, 23]",82,"[{'given': 'AVI', 'family': 'AHUJA', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/0190ak572', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'New York University'}]}, {'ORCID': 'https://orcid.org/0000-0003-4371-0363', 'authenticated-orcid': False, 'given': 'GWYNETH', 'family': 'MCCLENDON', 'sequence': 'additional', 'affiliation': [{'id': [{'id': 'https://ror.org/0190ak572', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'New York University'}]}]","How do electoral rules influence voters? We build on existing research that has examined voter, rather than elite, reactions to electoral rules and implement a field experiment around a switch from single-member plurality rules to multi-member closed-list proportional rules (PR) in Sierra Leone, expanding the study of electoral rules’ influence on voters further into the Global South. We find that exposure to multimember district/PR increased women’s commitment to voting and decreased both men’s and women’s support for particularistic campaign appeals in this context. These results likely flow from voters’ perceptions of whether politicians are accountable to parties or to voters under different systems, rather than from increased party competition, new party entry, a clear switch to programmatic party competition, or increased trust in elections. We discuss the implications for studying electoral rules in clientelistic democracies.","['AHUJA, AVI', 'MCCLENDON, GWYNETH']",American Political Science Review,,,1-20,,Cambridge University Press (CUP),The Effects of Exposure to New Electoral Rules: Field Experimental Evidence from Sierra Leone,"Ahuja, A., & Mcclendon, G. (2026). The Effects of Exposure to New Electoral Rules: Field Experimental Evidence from Sierra Leone. American Political Science Review, [VOLUME MISSING] , 1-20.[ https://doi.org/10.1017/s0003055426101518]( https://doi.org/10.1017/s0003055426101518)"
2,What Is the Wrong of Capitalism? A Reply to Chiara Cordelli,10.1017/s0003055426101567,"[2026, 3, 23]",37,"[{'ORCID': 'https://orcid.org/0000-0002-9819-3423', 'authenticated-orcid': False, 'given': 'NICHOLAS', 'family': 'VROUSALIS', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/057w15z03', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'Erasmus University Rotterdam'}]}]","Chiara Cordelli has recently criticized radical republicans for failing to ground a domination-based anti-capitalism. Cordelli argues that radical republicans “cannot prove either that domination under capitalism is less contingent than other wrongs, that capitalism’s distinctive wrong amounts to domination, or that such domination is unjust.” This article responds to Cordelli’s objections. I argue that Cordelli’s emphasis on capitalization does not threaten the non-contingency of capitalist domination; that capitalism’s distinctive wrong is domination and not alienation, and that this wrong is structural all the way down. Cordelli is right that capitalism involves alienation of our future to the vagaries of profit-maximization. But alienation is only a moment in capitalism’s fundamental wrong and ill—the domination of labor by capital.","['VROUSALIS, NICHOLAS']",American Political Science Review,,,1-8,,Cambridge University Press (CUP),What Is the Wrong of Capitalism? A Reply to Chiara Cordelli,"Vrousalis, N. (2026). What Is the Wrong of Capitalism? A Reply to Chiara Cordelli. American Political Science Review, [VOLUME MISSING] , 1-8.[ https://doi.org/10.1017/s0003055426101567]( https://doi.org/10.1017/s0003055426101567)"
3,Do Elites Know Best? Candidate Selection and Policy Implementation in Postindependence Tanzania,10.1017/s0003055426101531,"[2026, 3, 23]",124,"[{'ORCID': 'https://orcid.org/0000-0003-2234-9580', 'authenticated-orcid': False, 'given': 'JEREMY', 'family': 'BOWLES', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/02jx3x895', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'University College London'}]}]","How do candidate selection processes shape policy outcomes? Studying Tanzania’s initial single-party legislative elections, I assess how electing candidates preferred by party elites affected policy implementation, which emphasized rural development during this period. Leveraging the deterministic assignment of ballot symbols—which was orthogonal to candidate characteristics but had large electoral effects—finds that their election substantially increased the supply of salient local public goods. Assembling novel candidate-level data, I document that elites prioritized candidates’ national prominence while voters prioritized their local ties. Rather than representing misaligned incentives, the results are consistent with elites, in an incipient regime, more quickly understanding which characteristics would matter for candidates’ performance in office. Beyond highlighting novel conditions under which elite-led candidate selection facilitates responsiveness, the results underscore the distributive consequences of candidate selection even in nondemocratic settings.","['BOWLES, JEREMY']",American Political Science Review,,,1-22,,Cambridge University Press (CUP),Do Elites Know Best? Candidate Selection and Policy Implementation in Postindependence Tanzania,"Bowles, J. (2026). Do Elites Know Best? Candidate Selection and Policy Implementation in Postindependence Tanzania. American Political Science Review, [VOLUME MISSING] , 1-22.[ https://doi.org/10.1017/s0003055426101531]( https://doi.org/10.1017/s0003055426101531)"
4,Exiting Russia,10.1017/s000305542610152x,"[2026, 3, 11]",92,"[{'ORCID': 'https://orcid.org/0000-0002-7430-9997', 'authenticated-orcid': False, 'given': 'RACHEL L.', 'family': 'WELLHAUSEN', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/00hj54h04', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'University of Texas at Austin'}]}, {'ORCID': 'https://orcid.org/0000-0002-8775-2736', 'authenticated-orcid': False, 'given': 'BOLIANG', 'family': 'ZHU', 'sequence': 'additional', 'affiliation': [{'id': [{'id': 'https://ror.org/04p491231', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'Pennsylvania State University'}]}]","As of February 24, 2022, over forty thousand foreign-invested firms operated in Russia, a host state that initiated an interstate war—an exceptional shock in the modern era of economic globalization. Using company registration data, we document that after 18 months of war, 33.3% of foreign-invested firms had changed ownership or become inactive. We conceptualize exit as a politicized transaction in which sellers and buyers face external pressures and bargain over terms. Concerning pressures to sell, those in consumer-oriented industries were more likely to exit. On bargaining, we find Russian state interests consequential: foreign-invested firms already under Russian managerial control were more likely to exit, whereas those in Russian strategic industries were not. Despite extraordinary economic sanctions to isolate Russia, and surging social backlash against doing business in Russia, results imply that multinationals are at best unstable tools of economic statecraft, even in the midst of war.","['WELLHAUSEN, RACHEL L.', 'ZHU, BOLIANG']",American Political Science Review,,,1-18,,Cambridge University Press (CUP),Exiting Russia,"Wellhausen, R. L., & Zhu, B. (2026). Exiting Russia. American Political Science Review, [VOLUME MISSING] , 1-18.[ https://doi.org/10.1017/s000305542610152x]( https://doi.org/10.1017/s000305542610152x)"
5,"Reconfiguring the Global Color Line: The Paradoxical Discourse of Race in Zou Rong’s
                    <i>Revolutionary Army</i>",10.1017/s0003055426101464,"[2026, 3, 6]",92,"[{'ORCID': 'https://orcid.org/0009-0001-3720-3181', 'authenticated-orcid': False, 'given': 'YUANXIN', 'family': 'WANG', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/02y3ad647', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'University of Florida'}]}]","This article examines the racial discourse of Zou Rong, a 20th-century Chinese radical intellectual, and the puzzling rendering of transnational racial politics at work in his pamphlet
                    The Revolutionary Army
                    . In this text, Zou employs the imported concept of race to refashion Han Chinese identity within a politically motivated global racial taxonomy. He then problematizes the “double enslavement” of the Han race at the trans-imperial nexus of domestic Manchu domination and global white supremacy. Finally, he urges a multifront revolution in China by discursively vindicating Han Chinese racial uplift within a newly reconfigured system of racial hierarchy. In reconstructing the formation and broader political stakes of Zou’s racial discourse, this article centers the deeply contingent and paradoxical alignment of racism and imperialism and the nuanced power relations between peoples of color. It also exemplifies a transnational approach to comparative political theory that focuses on the circulation and negotiation of ideas.","['WANG, YUANXIN']",American Political Science Review,,,1-15,,Cambridge University Press (CUP),"Reconfiguring the Global Color Line: The Paradoxical Discourse of Race in Zou Rong’s
                    <i>Revolutionary Army</i>","Wang, Y. (2026). Reconfiguring the Global Color Line: The Paradoxical Discourse of Race in Zou Rong’s
                    <i>Revolutionary Army</i>. American Political Science Review, [VOLUME MISSING] , 1-15.[ https://doi.org/10.1017/s0003055426101464]( https://doi.org/10.1017/s0003055426101464)"
6,Initiate and Elevate! How Political Parties Can Set an Agenda,10.1017/s0003055426101506,"[2026, 3, 3]",60,"[{'ORCID': 'https://orcid.org/0009-0004-1849-6806', 'authenticated-orcid': False, 'given': 'DANIEL SANDVEJ', 'family': 'ERIKSEN', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/01aj84f44', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'Aarhus University'}]}]","The study of political agenda setting is a cornerstone in political science. Within this literature, political parties are implicitly portrayed as being capable of proactively initiating discussions. However, this fundamental notion of party agency deserves further theoretical and empirical attention. In response, this article crafts a new model (the Issue Initiation Model) that opens the window into parties’ efforts to set an agenda and traces how they initiate and elevate their agenda. The model is tested on an original dataset covering more than 5.5-million tweets by political parties and MPs, coupled with over 750,000 news articles and 419,000 parliamentary questions in the United Kingdom and Denmark from 2015 to 2022. Results show how parties and their MPs can proactively redirect the attention of other actors through strategic planning and orchestrated actions. By theorizing and empirically testing the implicit notion that parties can proactively initiate discussions, this article has important implications for political agenda setting.","['ERIKSEN, DANIEL SANDVEJ']",American Political Science Review,,,1-19,,Cambridge University Press (CUP),Initiate and Elevate! How Political Parties Can Set an Agenda,"Eriksen, D. S. (2026). Initiate and Elevate! How Political Parties Can Set an Agenda. American Political Science Review, [VOLUME MISSING] , 1-19.[ https://doi.org/10.1017/s0003055426101506]( https://doi.org/10.1017/s0003055426101506)"
7,Partisan Expressive Responding: Lessons from Two Decades of Research,10.1017/s0003055426101452,"[2026, 3, 3]",54,"[{'ORCID': 'https://orcid.org/0000-0003-4808-2984', 'authenticated-orcid': False, 'given': 'MATTHEW H.', 'family': 'GRAHAM', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/00kx1jb78', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'Temple University'}]}]","Research on partisan expressive responding suggests that the beliefs people express in surveys are more partisan than their underlying perceptions. This article examines the scope and importance of expressive responding through a meta-reanalysis of 44 studies from 25 articles. On average, treatments designed to reduce expressive responding shrink measured partisan bias by about 25%. Across the 242 survey questions in the data, treatments increase the correlation between the average Democrat’s and Republican’s beliefs from 0.81 to 0.86. Contrary to expectations derived from the two leading theories of expressive responding, misreporting (“cheerleading”) and congenial inference, there is no evidence that expressive responding increases in partisan identity strength or educational attainment. As research on expressive responding enters its third decade, greater emphasis on design-based tests of mechanisms may help build a firmer understanding of the nature and substantive importance of expressive responding—namely, whether the forces that produce expressive responding in surveys also shape real-world political judgments.","['GRAHAM, MATTHEW H.']",American Political Science Review,,,1-19,,Cambridge University Press (CUP),Partisan Expressive Responding: Lessons from Two Decades of Research,"Graham, M. H. (2026). Partisan Expressive Responding: Lessons from Two Decades of Research. American Political Science Review, [VOLUME MISSING] , 1-19.[ https://doi.org/10.1017/s0003055426101452]( https://doi.org/10.1017/s0003055426101452)"
8,Scrutiny and Recall: Rousseau on Controlling the Executive,10.1017/s0003055426101488,"[2026, 3, 3]",83,"[{'ORCID': 'https://orcid.org/0000-0002-2937-7093', 'authenticated-orcid': False, 'given': 'ARTHUR', 'family': 'GHINS', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/01r9htc13', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'Université Libre de Bruxelles'}]}]","In recent decades, political theorists have drawn on historical thinkers to explore how political elites can be held accountable. Rousseau, however, is often dismissed as reducing accountability to elections and participation to occasional ratification referenda. This article challenges that view. While Rousseau expected an elective aristocracy to execute laws ratified by the people, he also identified two mechanisms—scrutiny and recall—through which citizens could control these representatives. After reconstructing Rousseau’s account, I consider how these mechanisms could be adapted to contemporary democracies. Focused on executive accountability, the model is particularly suited to presidential systems with directly elected presidents. It combines a national jury—a citizens’ assembly chosen by lot and tasked with examining presidential actions—with the possibility of a recall referendum. By uniting deliberative scrutiny with the power to remove the head of state, this approach offers an underexplored complement to recent anti-oligarchic institutional innovations based on sortition.","['GHINS, ARTHUR']",American Political Science Review,,,1-16,,Cambridge University Press (CUP),Scrutiny and Recall: Rousseau on Controlling the Executive,"Ghins, A. (2026). Scrutiny and Recall: Rousseau on Controlling the Executive. American Political Science Review, [VOLUME MISSING] , 1-16.[ https://doi.org/10.1017/s0003055426101488]( https://doi.org/10.1017/s0003055426101488)"
9,"The Cornered Mouse: Sanctioned Elites and Authoritarian Realignment in the Japanese Legislature, 1936–1942",10.1017/s0003055426101440,"[2026, 3, 2]",71,"[{'ORCID': 'https://orcid.org/0000-0003-3428-9589', 'authenticated-orcid': False, 'given': 'MAKOTO', 'family': 'FUKUMOTO', 'sequence': 'first', 'affiliation': [{'id': [{'id': 'https://ror.org/00ntfnx83', 'id-type': 'ROR', 'asserted-by': 'publisher'}], 'name': 'Waseda University'}]}]","This study examines how economic elites respond to the erosion of democratic checks and balances, focusing on the Japanese legislature from 1936 to 1942. Using an original dataset of Diet members’ biographies and board memberships, it analyzes the Imperial Japanese Army’s consolidation of power and shifts in parliamentary voting patterns amid the suppression of dissent. Employing difference-in-differences and event-study designs, this study evaluates the effects of two key shocks: economic sanctions and wartime procurement. Legislators tied to sanction-hit sectors—such as textiles and petrochemicals, the weakest performers in the stock market—shifted toward authoritarian alignment. Biographical and legislative records suggest this shift was facilitated by regime-backed campaign finance. In contrast, legislators from procurement-dependent sectors, such as automobiles, maintained stable voting behavior. The findings complicate the conventional view that sanctions prompt elites to advocate international policy change. Instead, they show that sanctions can drive vulnerable actors to submit domestically, thereby accelerating authoritarian consolidation.","['FUKUMOTO, MAKOTO']",American Political Science Review,,,1-21,,Cambridge University Press (CUP),"The Cornered Mouse: Sanctioned Elites and Authoritarian Realignment in the Japanese Legislature, 1936–1942","Fukumoto, M. (2026). The Cornered Mouse: Sanctioned Elites and Authoritarian Realignment in the Japanese Legislature, 1936–1942. American Political Science Review, [VOLUME MISSING] , 1-21.[ https://doi.org/10.1017/s0003055426101440]( https://doi.org/10.1017/s0003055426101440)"
